num	zipcode	name
72.0	44001	Ababuj
839.0	40001	Abades
340.0	10001	Abadía
2259.0	27001	Abadín
7708.0	48001	Abadiño
80.0	31001	Abáigar
29.0	9001	Abajas
260.0	26001	Ábalos
309.0	20001	Abaltzisketa
61.0	19001	Abánades
6146.0	30001	Abanilla
89.0	50001	Abanto
9369.0	48002	Abanto y Ciérvana-Abanto Zierbena
12992.0	30002	Abarán
43.0	34001	Abarca de Campos
527.0	31002	Abárzuza/Abartzuza
120.0	31003	Abaurregaina/Abaurrea Alta
31.0	31004	Abaurrepea/Abaurrea Baja
5534.0	15001	Abegondo
273.0	42001	Abejar
56.0	44002	Abejuela
167.0	25001	Abella de la Conca
739.0	2001	Abengibre
1314.0	13001	Abenójar
371.0	31005	Aberin
388.0	10002	Abertura
65.0	49002	Abezames
60.0	16001	Abia de la Obispalía
169.0	34003	Abia de las Torres
278.0	22001	Abiego
151.0	22002	Abizanda
1247.0	4001	Abla
63.0	19002	Ablanque
2557.0	31006	Ablitas
12697.0	8001	Abrera
1221.0	4002	Abrucena
161.0	37001	Abusejo
62.0	28001	Acebeda
185.0	24001	Acebedo
542.0	10003	Acebo
231.0	16002	Acebrón
816.0	6001	Acedera
816.0	10004	Acehúche
588.0	10005	Aceituna
138.0	50002	Acered
5456.0	6002	Aceuchal
204.0	22003	Adahuesca
54.0	47001	Adalia
4125.0	14001	Adamuz
214.0	5001	Adanero
49270.0	38001	Adeje
1000.0	46001	Ademuz
165.0	31007	Adiós
28.0	19003	Adobes
1706.0	46002	Ador
25300.0	4003	Adra
199.0	9003	Adrada de Haza
38.0	40002	Adrada de Pirón
2750.0	5002	Adrada
60.0	42003	Adradas
120.0	40003	Adrados
486.0	20002	Aduna
5633.0	35001	Agaete
131.0	37002	Agallas
580.0	25002	Àger
2252.0	36020	Agolada
139.0	50003	Agón
1175.0	26002	Agoncillo
4948.0	3002	Agost
5479.0	25003	Agramunt
2983.0	42004	Ágreda
589.0	3003	Agres
247.0	18001	Agrón
2043.0	41001	Aguadulce
610.0	50004	Aguarón
62.0	9006	Aguas Cándidas
19.0	47002	Aguasal
16.0	44003	Aguatón
