,num,zipcode,name,latitude,longitude,geohash,geohash_5,geohash_6,population_bucket,population_bucket_label
0,72.0,44001,Ababuj,40.5491098,-0.8075273,ezpq,ezpqt,ezpqtt,"(0, 100]",1
1,839.0,40001,Abades,40.914854,-4.2690384,ezkb,ezkby,ezkbyb,"(500, 1000]",3
2,340.0,10001,Abadía,40.2594378,-5.9780763,ez5t,ez5tp,ez5tpc,"(100, 500]",2
3,2259.0,27001,Abadín,43.3637307,-7.4752562,ezdw,ezdwt,ezdwty,"(1000, 5000]",4
4,7708.0,48001,Abadiño,43.1531317,-2.6078471,ezwj,ezwjk,ezwjkx,"(5000, 10000]",5
5,80.0,31001,Abáigar,42.6482651,-2.1420631,ezw6,ezw6x,ezw6x7,"(0, 100]",1
6,29.0,9001,Abajas,42.623387,-3.581355,ezt6,ezt6q,ezt6qx,"(0, 100]",1
7,260.0,26001,Ábalos,42.5727159,-2.7100606,ezw4,ezw44,ezw44q,"(100, 500]",2
8,309.0,20001,Abaltzisketa,43.047842,-2.1052186,ezws,ezwsb,ezwsbh,"(100, 500]",2
9,61.0,19001,Abánades,40.8929461,-2.4852216,ezq0,ezq0x,ezq0xk,"(0, 100]",1
10,6146.0,30001,Abanilla,38.2053567,-1.0408321,eyz3,eyz32,eyz327,"(5000, 10000]",5
11,89.0,50001,Abanto,41.1376502,-1.6987114,ezqf,ezqf1,ezqf12,"(0, 100]",1
12,9369.0,48002,Abanto y Ciérvana-Abanto Zierbena,43.3188635,-3.075375,ezty,ezty6,ezty6j,"(5000, 10000]",5
13,12992.0,30002,Abarán,38.2058512,-1.3971219,eyz1,eyz12,eyz125,"(10000, 50000]",6
14,43.0,34001,Abarca de Campos,42.0625676,-4.8418423,ezkx,ezkx3,ezkx3c,"(0, 100]",1
15,527.0,31002,Abárzuza/Abartzuza,42.74626365,-2.041513016118407,ezwe,ezwe1,ezwe1t,"(500, 1000]",3
16,120.0,31003,Abaurregaina/Abaurrea Alta,42.9034594,-1.2088667,ezxh,ezxhh,ezxhh6,"(100, 500]",2
17,31.0,31004,Abaurrepea/Abaurrea Baja,42.9099508,-1.2170155,ezxh,ezxhh,ezxhh7,"(0, 100]",1
18,5534.0,15001,Abegondo,43.2104427,-8.2903237,ezdj,ezdjg,ezdjg6,"(5000, 10000]",5
19,273.0,42001,Abejar,41.8076969,-2.785771,ezqj,ezqjb,ezqjbd,"(100, 500]",2
20,56.0,44002,Abejuela,39.9102352,-0.8932275,ezp7,ezp75,ezp759,"(0, 100]",1
21,167.0,25001,Abella de la Conca,42.1614592,1.0923357,sp2z,sp2zb,sp2zbg,"(100, 500]",2
22,739.0,2001,Abengibre,39.2089284,-1.5420192,eyyz,eyyzh,eyyzhc,"(500, 1000]",3
23,1314.0,13001,Abenójar,38.8794942,-4.3557024,eyuv,eyuvh,eyuvhv,"(1000, 5000]",4
24,371.0,31005,Aberin,42.6123798,-1.9873356627694756,ezwd,ezwd6,ezwd6v,"(100, 500]",2
25,388.0,10002,Abertura,39.2439535,-5.8141881,eygz,eygz7,eygz78,"(100, 500]",2
26,65.0,49002,Abezames,41.6260896,-5.4262519,ezkh,ezkhu,ezkhu9,"(0, 100]",1
27,60.0,16001,Abia de la Obispalía,40.0186019,-2.394852,ezn7,ezn79,ezn79t,"(0, 100]",1
28,169.0,34003,Abia de las Torres,42.4196917,-4.4226995,ezsc,ezsc7,ezsc76,"(100, 500]",2
29,278.0,22001,Abiego,42.1214852,-0.0703957,ezrz,ezrzw,ezrzw7,"(100, 500]",2
30,151.0,22002,Abizanda,42.2427303,0.1975837,sp80,sp80k,sp80k6,"(100, 500]",2
